origin_iso,origin_name,origin_region_name,destination_iso,destination_name,destination_region_name,countryflow_2014,countryflow_2015
CY,Cyprus,ESRA Mediterranean,LV,Latvia,Other Europe,77,70
CY,Cyprus,ESRA Mediterranean,MD,Moldova,ESRA East,56,75
CY,Cyprus,ESRA Mediterranean,MK,Macedonia,ESRA East,6,2
CY,Cyprus,ESRA Mediterranean,MT,Malta,ESRA Mediterranean,294,379
CY,Cyprus,ESRA Mediterranean,NL,Netherlands,ESRA North-West,306,198
CY,Cyprus,ESRA Mediterranean,NO,Norway,ESRA North-West,344,255
CY,Cyprus,ESRA Mediterranean,PL,Poland,ESRA East,422,536
CY,Cyprus,ESRA Mediterranean,PT,Portugal,ESRA Mediterranean,4,2
CY,Cyprus,ESRA Mediterranean,RO,Romania,ESRA East,534,541
CY,Cyprus,ESRA Mediterranean,RS,Serbia,ESRA East,376,320
CY,Cyprus,ESRA Mediterranean,SE,Sweden,ESRA North-West,557,500
CY,Cyprus,ESRA Mediterranean,SI,Slovenia,ESRA East,3,1
CY,Cyprus,ESRA Mediterranean,SK,Slovakia,ESRA East,22,19
CY,Cyprus,ESRA Mediterranean,TR,Turkey,ESRA Mediterranean,0,2
CY,Cyprus,ESRA Mediterranean,UA,Ukraine,ESRA East,469,616
CZ,Czechia,ESRA East,AL,Albania,ESRA East,5,23
CZ,Czechia,ESRA East,AM,Armenia,Other Europe,149,9
CZ,Czechia,ESRA East,AT,Austria,ESRA North-West,2440,2495
CZ,Czechia,ESRA East,BA,Bosnia & Herzegovina,ESRA East,3,8
CZ,Czechia,ESRA East,BE,Belgium,ESRA North-West,2068,2403
CZ,Czechia,ESRA East,BG,Bulgaria,ESRA East,979,992
CZ,Czechia,ESRA East,CH,Switzerland,ESRA North-West,2328,1840
CZ,Czechia,ESRA East,CY,Cyprus,ESRA Mediterranean,69,70
CZ,Czechia,ESRA East,CZ,Czechia,ESRA East,5040,6422
CZ,Czechia,ESRA East,DE,Germany,ESRA North-West,9521,10001
CZ,Czechia,ESRA East,DK,Denmark,ESRA North-West,1009,1152
CZ,Czechia,ESRA East,EE,Estonia,Other Europe,11,9
CZ,Czechia,ESRA East,ES,Spain,ESRA Mediterranean,2476,2711
CZ,Czechia,ESRA East,FI,Finland,ESRA North-West,907,963
CZ,Czechia,ESRA East,FR,France,ESRA North-West,4797,4755
CZ,Czechia,ESRA East,GB,United Kingdom,ESRA North-West,5759,6443
CZ,Czechia,ESRA East,GE,Georgia,Other Europe,38,15
CZ,Czechia,ESRA East,GI,Gibraltar,Other Europe,1,2
CZ,Czechia,ESRA East,GR,Greece,ESRA Mediterranean,2452,2568
CZ,Czechia,ESRA East,HR,Croatia,ESRA East,630,711
CZ,Czechia,ESRA East,HU,Hungary,ESRA East,1037,1070
CZ,Czechia,ESRA East,IE,Ireland,ESRA North-West,578,691
CZ,Czechia,ESRA East,IT,Italy,ESRA Mediterranean,4266,4647
CZ,Czechia,ESRA East,LT,Lithuania,Other Europe,203,39
CZ,Czechia,ESRA East,LU,Luxembourg,ESRA North-West,137,143
CZ,Czechia,ESRA East,LV,Latvia,Other Europe,345,381
CZ,Czechia,ESRA East,MD,Moldova,ESRA East,64,31
CZ,Czechia,ESRA East,MK,Macedonia,ESRA East,12,9
CZ,Czechia,ESRA East,MT,Malta,ESRA Mediterranean,85,61
CZ,Czechia,ESRA East,NL,Netherlands,ESRA North-West,2780,2653
CZ,Czechia,ESRA East,NO,Norway,ESRA North-West,590,646
CZ,Czechia,ESRA East,PL,Poland,ESRA East,2557,2749
CZ,Czechia,ESRA East,PT,Portugal,ESRA Mediterranean,469,507
CZ,Czechia,ESRA East,RO,Romania,ESRA East,699,572
CZ,Czechia,ESRA East,RS,Serbia,ESRA East,574,645
CZ,Czechia,ESRA East,SE,Sweden,ESRA North-West,820,1005
CZ,Czechia,ESRA East,SI,Slovenia,ESRA East,250,289
CZ,Czechia,ESRA East,SK,Slovakia,ESRA East,1879,1866
CZ,Czechia,ESRA East,TR,Turkey,ESRA Mediterranean,1971,2407
CZ,Czechia,ESRA East,UA,Ukraine,ESRA East,738,618
DE,Germany,ESRA North-West,AL,Albania,ESRA East,525,652
DE,Germany,ESRA North-West,AM,Armenia,Other Europe,39,12
DE,Germany,ESRA North-West,AT,Austria,ESRA North-West,41971,41524
DE,Germany,ESRA North-West,BA,Bosnia & Herzegovina,ESRA East,768,946
DE,Germany,ESRA North-West,BE,Belgium,ESRA North-West,13437,14812
