origin_iso,origin_name,originregion_name,destination_iso,destination_name,destinationregion_name,countryflow_2001,countryflow_2002,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014,countryflow_2015
BE,Belgium,ESRA North-West,FI,Finland,ESRA North-West,1659,1622,2199,2202,1767,2009,2084,1904,1824,1773,2141,1566,1486,1535,1569
BE,Belgium,ESRA North-West,FO,Faroe Islands,ESRA North-West,5,1,3,2,2,1,2,2,2,2,2,1,1,2,2
BE,Belgium,ESRA North-West,FR,France,ESRA North-West,19307,14626,14757,13709,14223,14537,15399,15515,14339,14625,15028,15414,15330,15939,16141
BE,Belgium,ESRA North-West,GB,United Kingdom,ESRA North-West,31294,30016,23812,21631,21451,21251,22255,19291,16783,15712,15912,16140,14647,14250,14533
BE,Belgium,ESRA North-West,GE,Georgia,Other Europe,40,2,2,3,1,1,6,9,3,2,6,7,37,11,5
BE,Belgium,ESRA North-West,GI,Gibraltar,Other Europe,3,2,0,1,0,2,4,3,0,4,3,5,1,1,1
BE,Belgium,ESRA North-West,GR,Greece,ESRA Mediterranean,3664,2970,3697,3802,3671,3654,3579,3308,3181,3118,3453,3050,2978,3583,3714
BE,Belgium,ESRA North-West,HR,Croatia,ESRA East,352,344,342,388,506,538,507,606,492,608,577,635,909,994,1149
BE,Belgium,ESRA North-West,HU,Hungary,ESRA East,1293,758,963,1369,1687,1552,1880,1771,1793,1963,1837,2112,1993,1981,2140
BE,Belgium,ESRA North-West,IE,Ireland,ESRA North-West,2976,2988,3360,3080,2482,2285,1905,2018,1960,1586,1614,1783,1997,1964,2370
BE,Belgium,ESRA North-West,IT,Italy,ESRA Mediterranean,16582,16078,16272,14880,13799,14494,14676,14287,14161,15503,16053,15847,15573,16514,16311
BE,Belgium,ESRA North-West,LT,Lithuania,Other Europe,6,2,116,223,280,303,550,584,187,428,473,459,571,577,580
BE,Belgium,ESRA North-West,LU,Luxembourg,ESRA North-West,1465,309,305,422,679,758,705,715,434,326,301,299,297,226,247
BE,Belgium,ESRA North-West,LV,Latvia,Other Europe,9,6,56,231,305,319,358,475,675,777,849,744,742,690,1092
BE,Belgium,ESRA North-West,MD,Moldova,ESRA East,5,1,4,2,3,1,2,4,3,3,8,7,4,3,4
BE,Belgium,ESRA North-West,MK,Macedonia,ESRA East,12,6,8,3,7,7,17,15,22,39,7,43,58,147,158
BE,Belgium,ESRA North-West,MT,Malta,ESRA Mediterranean,295,288,302,308,387,413,406,407,364,367,395,399,387,431,494
BE,Belgium,ESRA North-West,NL,Netherlands,ESRA North-West,7200,5403,4887,4522,4092,4517,4221,3874,3372,3129,3359,3197,3056,2945,2935
BE,Belgium,ESRA North-West,NO,Norway,ESRA North-West,1495,1493,1557,1772,1720,1689,1742,1709,1584,1875,1850,1612,1619,1786,1838
BE,Belgium,ESRA North-West,PL,Poland,ESRA East,2331,1735,1788,2110,1976,2148,2577,2687,2728,2835,2829,2824,2506,3039,3858
BE,Belgium,ESRA North-West,PT,Portugal,ESRA Mediterranean,3350,2259,2780,3172,3175,3269,3779,4262,3988,3948,3912,3640,3660,4735,5140
BE,Belgium,ESRA North-West,RO,Romania,ESRA East,438,238,376,519,636,722,1137,1417,1469,1386,1515,1479,1629,1795,2233
BE,Belgium,ESRA North-West,RS,Serbia,ESRA East,119,167,187,172,130,196,196,281,283,245,466,463,501,609,592
BE,Belgium,ESRA North-West,SE,Sweden,ESRA North-West,5506,4944,6132,6336,4861,4500,4230,4027,3805,4354,4132,3968,3674,3759,3881
BE,Belgium,ESRA North-West,SI,Slovenia,ESRA East,389,340,468,552,558,838,1140,1223,961,869,724,738,808,770,817
BE,Belgium,ESRA North-West,SJ,Svalbard & Jan Mayen,ESRA North-West,0,0,0,0,1,0,2,0,0,1,3,0,0,1,0
BE,Belgium,ESRA North-West,SK,Slovakia,ESRA East,30,20,59,310,520,457,89,61,225,268,496,443,451,408,452
BE,Belgium,ESRA North-West,TR,Turkey,ESRA Mediterranean,2998,2777,2726,3464,4410,3940,4294,4306,4484,4867,5049,5136,5348,5525,5475
BE,Belgium,ESRA North-West,UA,Ukraine,ESRA East,223,184,251,280,234,244,266,285,252,171,314,325,410,605,501
BG,Bulgaria,ESRA East,AL,Albania,ESRA East,189,261,181,125,115,80,79,65,56,49,32,9,7,8,11
